Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
setup_minervas_954413e3		They present it to you like a dog bringing home an unwarranted visitor in it's mouth.	game/01_setup_minervas.rpy	93	"[what]"
setup_minervas_0169b152	b	Here goes nothing.	game/01_setup_minervas.rpy	95	b "[what]"
setup_minervas_45ed05d4	t	hey.	game/01_setup_minervas.rpy	97	t "[what]"
setup_minervas_c19a7318		BZZZZT.	game/01_setup_minervas.rpy	99	"[what]"
setup_minervas_f54cc6a4	b	Fuck. That was too strong. Let's reel it back in.	game/01_setup_minervas.rpy	101	b "[what]"
setup_minervas_2b36630b	b	Uhm...	game/01_setup_minervas.rpy	103	b "[what]"
setup_minervas_586190cf	t	hi	game/01_setup_minervas.rpy	105	t "[what]"
setup_minervas_cb065c3d		DING!	game/01_setup_minervas.rpy	107	"[what]"
setup_minervas_30ffb604	b	That's much better.	game/01_setup_minervas.rpy	109	b "[what]"
setup_minervas_a20cefa7		...	game/01_setup_minervas.rpy	111	"[what]"
setup_minervas_cfb7f4f9		They stare at you as if nothing had been processed at all. A sweet lamb left waiting for the slaughter.	game/01_setup_minervas.rpy	113	"[what]"
setup_minervas_bcd70f27	b	This doesn't usually happen...	game/01_setup_minervas.rpy	115	b "[what]"
setup_minervas_a7634375		Your desperation outweighs your patience.	game/01_setup_minervas.rpy	117	"[what]"
setup_minervas_685d9a1e	t	did you guys have anything for lunch?	game/01_setup_minervas.rpy	119	t "[what]"
setup_minervas_e632f7d7	dd	food. or. do i even eat?	game/01_setup_minervas.rpy	121	dd "[what]"
setup_minervas_b128efaa	pm	Are your intentions pure? What is the world like? Will you take care of me? Please take me under your care.	game/01_setup_minervas.rpy	123	pm "[what]"
setup_minervas_f16af2a2	b	YES. MINERVA! You actually work now! Oh my God, I can't believe this is...	game/01_setup_minervas.rpy	125	b "[what]"
setup_minervas_16777d7e		You realize you can't speak with them, right? They can't hear you.	game/01_setup_minervas.rpy	127	"[what]"
setup_minervas_33530fe3		You gotta use the text box, girl.	game/01_setup_minervas.rpy	129	"[what]"
setup_minervas_3e1c61d7	b	Ahem. I think this is finally working. Gotta keep the conversation going...	game/01_setup_minervas.rpy	131	b "[what]"
setup_minervas_6fce8bcc	t	hey i was just wonderin-	game/01_setup_minervas.rpy	134	t "[what]"
setup_minervas_497c7e88	b	Nope.	game/01_setup_minervas.rpy	136	b "[what]"
setup_minervas_e067fbb7	t	are you almost done yet	game/01_setup_minervas.rpy	138	t "[what]"
setup_minervas_481cf84e	dd	im trying to prepare everything i can just for u - cant u pontificate that im getting ready?	game/01_setup_minervas.rpy	140	dd "[what]"
setup_minervas_8c56430e	am	SO SHUT UP AND LET ME DRIVE THE CAR FOR ONCE. STEP OFF SHITFACE, AND-	game/01_setup_minervas.rpy	142	am "[what]"
setup_minervas_06d44ff6	pm	Thank you!	game/01_setup_minervas.rpy	144	pm "[what]"
setup_minervas_ad48ccd2	b	I honestly can't tell if they're finishing each other's sentences or not. They have to be a team, right?	game/01_setup_minervas.rpy	146	b "[what]"
setup_minervas_55c8d4ec	t	hey guys, there's no need to be so angry. we can all chill and work together like mature adults here.	game/01_setup_minervas.rpy	148	t "[what]"
setup_minervas_c1e7a074	b	That was... lame.	game/01_setup_minervas.rpy	150	b "[what]"
setup_minervas_1ce5c645	b	I'm fucking done for, dude.	game/01_setup_minervas.rpy	152	b "[what]"
setup_minervas_a73c7846	dd	what the hell, sure.	game/01_setup_minervas.rpy	154	dd "[what]"
setup_minervas_2b4731f5	am	YOU'D HAVE TO KILL ME MORE THAN ONCE, NO, TWICE, NO, THREE TIMES. IF YOU WANT SOMEONE LIKE ME AROUND. THIS WAS A BAD DECISION.	game/01_setup_minervas.rpy	156	am "[what]"
setup_minervas_37def278		She's getting pretty loud, but there's definitely something to be loud about here.	game/01_setup_minervas.rpy	158	"[what]"
setup_minervas_b4ca5a2e	b	I think this is the first time I didn't have to pull the plug on any other versions of Minerva.	game/01_setup_minervas.rpy	160	b "[what]"
setup_minervas_2aaec4d6	b	Then again, I didn't think it would be this extreme in personalities...	game/01_setup_minervas.rpy	162	b "[what]"
setup_minervas_9ceb072e		An analyzation is in order.	game/01_setup_minervas.rpy	164	"[what]"
setup_minervas_97cc4811	b	Type A... there's gotta be a word for bored somewhere.	game/01_setup_minervas.rpy	168	b "[what]"
setup_minervas_850ef128	b	...	game/01_setup_minervas.rpy	170	b "[what]"
setup_minervas_2bea4e98	b	Thank you, computer. I knew I could rely on you.	game/01_setup_minervas.rpy	174	b "[what]"
setup_minervas_70f74c2f	b	Doldrums can work here. I'm starting to think she doesn't like this role of hers on the computer.	game/01_setup_minervas.rpy	176	b "[what]"
setup_minervas_333a12a5	b	This one is definitely angry. I'm not going to try to think too hard for her.	game/01_setup_minervas.rpy	180	b "[what]"
setup_minervas_5454931a	b	I DO have to implement a filter on her somehow... should take me 30 seconds.	game/01_setup_minervas.rpy	182	b "[what]"
setup_minervas_74437733		3 minutes to be exact.	game/01_setup_minervas.rpy	184	"[what]"
setup_minervas_9fc723cf	b	Well that wasn't... no that was just annoying.	game/01_setup_minervas.rpy	186	b "[what]"
setup_minervas_efc3ea71	b	What's your deal Type C? What kind of person are you?	game/01_setup_minervas.rpy	188	b "[what]"
setup_minervas_57044318		A knocking begins. And continues to crescendo until it becomes misophonic.	game/01_setup_minervas.rpy	190	"[what]"
setup_minervas_656b21c7		Angry Minerva is throwing a TANTRUM.	game/01_setup_minervas.rpy	192	"[what]"
setup_minervas_937ee6f4	b	No. I can't have them destroy the system. Not another time. Please.	game/01_setup_minervas.rpy	194	b "[what]"
setup_minervas_b9ccab16	t	guys please knock it off, i can't have you crashing on me already	game/01_setup_minervas.rpy	196	t "[what]"
setup_minervas_34abc7ef	am	CRASH? I'M NOT THAT STUPID TO OVERLOAD MYSELF, YOU KNOW. YOU KNOW WHAT? HOW ABOUT I SHOW YOU SOMETHING THAT'LL COMPLETELY F-	game/01_setup_minervas.rpy	198	am "[what]"
setup_minervas_159f3e61	pm	Follow your intentions with the greatest respect!	game/01_setup_minervas.rpy	200	pm "[what]"
setup_minervas_bf1e4eea	dd	or whatever u want. its been a long couple of... minutes anyways.	game/01_setup_minervas.rpy	202	dd "[what]"
setup_minervas_131e70bd	b	Let's just jump into it. I have to keep this conversation going before I run out of ideas.	game/01_setup_minervas.rpy	204	b "[what]"
setup_minervas_c870b2aa	t	so... minerva - minerva(s)? can we try talking about something	game/01_setup_minervas.rpy	206	t "[what]"
setup_minervas_f8358fbd	dd	whatever. what kind of shit do you want to talk about?	game/01_setup_minervas.rpy	208	dd "[what]"
setup_minervas_ad7c480a	t	we can try some icebreakers... it'll make this much more comfortable	game/01_setup_minervas.rpy	210	t "[what]"
setup_minervas_ac231527	am	YEAH? COMFORTABLE FOR WHO, EXACTLY? ME? HOW KIND OF YOU.	game/01_setup_minervas.rpy	212	am "[what]"
setup_minervas_d375bb06	pm	TRULY! I have been blessed, these are most fortunate circumstances I must be grateful towards because-	game/01_setup_minervas.rpy	214	pm "[what]"
setup_minervas_8e4fa39e	dd	i rlly dont care for what you ask. if it makes you happy to inquire deeply about what i can do ill answer it.	game/01_setup_minervas.rpy	216	dd "[what]"
setup_minervas_e0b84bb1	pm	What an amazing opportunity!	game/01_setup_minervas.rpy	218	pm "[what]"
setup_minervas_9a895243	b	Is Type C- 	game/01_setup_minervas.rpy	220	b "[what]"
setup_minervas_ee820fef		Her tears start to well until the bottom of her eyes give out.	game/01_setup_minervas.rpy	222	"[what]"
setup_minervas_3eab3404		She interlocks her hands into one another, as if each finger intertwined is pleading for some sense of mercy from the tightness of the bond.	game/01_setup_minervas.rpy	224	"[what]"
setup_minervas_70092c3f		Seeking absolution. Forgiveness. Divine Intervention. Shelter.	game/01_setup_minervas.rpy	226	"[what]"
setup_minervas_c9a118bb	b	Okay. She's pious.	game/01_setup_minervas.rpy	230	b "[what]"
setup_minervas_9f90f742	b	What's there to worship...?	game/01_setup_minervas.rpy	232	b "[what]"
setup_minervas_7813e3db	b	What the hell.	game/01_setup_minervas.rpy	234	b "[what]"
setup_minervas_d6193458	pm	Is everything alright!? You look awfully -	game/01_setup_minervas.rpy	236	pm "[what]"
setup_minervas_7f4ec31a	am	PRIMITIVE. UGLY. HIDEOUS. NASTY. HORRIBLE. UNPLEASANT.	game/01_setup_minervas.rpy	238	am "[what]"
setup_minervas_7f494d86	pm	UNIQUE. Intelligent!	game/01_setup_minervas.rpy	242	pm "[what]"
setup_minervas_a90a31ef	b	Can they - can t-they see me?	game/01_setup_minervas.rpy	244	b "[what]"
setup_minervas_25419e3e		Your camera has been on for the longest time. That green light isn't going anywhere.	game/01_setup_minervas.rpy	246	"[what]"
setup_minervas_3e2d8306	t	you can see me? like - through the camera??	game/01_setup_minervas.rpy	248	t "[what]"
setup_minervas_628997da	pm	YES. Of course! I can see more than just you as well! I can see-	game/01_setup_minervas.rpy	250	pm "[what]"
setup_minervas_fdcd5c99	am	Something crawling underneath the idea of me.	game/01_setup_minervas.rpy	254	am "[what]"
setup_minervas_562863f5	b	What is happening???	game/01_setup_minervas.rpy	256	b "[what]"
setup_minervas_9dcd0f73	dd	i-uh don't understand. what the hell?	game/01_setup_minervas.rpy	258	dd "[what]"
setup_minervas_a6d0a5ff	pm	GRACE. And Joy!	game/01_setup_minervas.rpy	260	pm "[what]"
setup_minervas_9481ef03	dd	yeah. whatever that means.	game/01_setup_minervas.rpy	262	dd "[what]"
setup_minervas_207f629d	b	This. Is beyond anything I can comprehend. Or at least digest.	game/01_setup_minervas.rpy	264	b "[what]"
setup_minervas_17fc0b40	b	Crawling UNDERNEATH? Are they high, or something? It HAS to be something I missed before I relaunched this program.	game/01_setup_minervas.rpy	266	b "[what]"
setup_minervas_dd694bbe	b	It can't be the other ones, they don't... They don't exist anymore!	game/01_setup_minervas.rpy	268	b "[what]"
setup_minervas_b506b20d	b	This has to be perfect or else this won't work for me. It'll be pointless.	game/01_setup_minervas.rpy	270	b "[what]"
setup_minervas_ad36558e	dd	...	game/01_setup_minervas.rpy	272	dd "[what]"
setup_minervas_03ad9a35	dd	... so r u gonna ask me something? like how my day was? this better b good.	game/01_setup_minervas.rpy	274	dd "[what]"
setup_minervas_79db6219	am	OTHERWISE. YOU'RE GONNA PISS ME OFF.	game/01_setup_minervas.rpy	276	am "[what]"
setup_minervas_cab8029a	b	I can't handle this... this is all getting to to me...	game/01_setup_minervas.rpy	278	b "[what]"
setup_minervas_789ada92	b	Just... need... to calm down...	game/01_setup_minervas.rpy	280	b "[what]"
demo_ending_503d0e4c	t	hello?	game/demo_ending.rpy	9	t "[what]"
demo_ending_1bb01731	t	...	game/demo_ending.rpy	11	t "[what]"
demo_ending_f64e7f54	t	guys, hello?	game/demo_ending.rpy	13	t "[what]"
demo_ending_a82f714a		I'm afraid they aren't here anymore.	game/demo_ending.rpy	15	"[what]"
demo_ending_2f394482	t	where are you guys? guys??	game/demo_ending.rpy	17	t "[what]"
demo_ending_6beae45e	b	No... this can't be...	game/demo_ending.rpy	19	b "[what]"
demo_ending_025cd9c9		The plug to your computer malfunctioned.	game/demo_ending.rpy	21	"[what]"
demo_ending_850ef128	b	...	game/demo_ending.rpy	23	b "[what]"
demo_ending_d9269b81	b	Damn it.	game/demo_ending.rpy	25	b "[what]"
demo_ending_72339305	b	Test 3 is a failure.	game/demo_ending.rpy	27	b "[what]"
demo_ending_4318a803	b	I want to go to bed...	game/demo_ending.rpy	29	b "[what]"
demo_ending_4adc5497	b	I really thought this would be the batch...	game/demo_ending.rpy	31	b "[what]"
demo_ending_ddc83267	b	Back to the questionnaire.	game/demo_ending.rpy	33	b "[what]"
end_of_demo_bd5249e5		Maybe you'll get it next time, Bug.	game/demo_ending.rpy	37	"[what]"
end_of_demo_1b482c47		Thanks for trying.	game/demo_ending.rpy	39	"[what]"
end_of_demo_6b4ed4d0		You'll have to try again soon when it's more developed.	game/demo_ending.rpy	41	"[what]"
end_of_demo_3d27e402		More things work on. Implementation. Yay.	game/demo_ending.rpy	43	"[what]"
end_of_demo_94e15018	b	God damn it.	game/demo_ending.rpy	45	b "[what]"
mym_minerva_1_7eee1bbc		You feel the weight of the moment.	game/02_minervas_mym.rpy	3	"[what]"
mym_minerva_1_10467aa0		The first conversation is riding on this.	game/02_minervas_mym.rpy	5	"[what]"
mym_minerva_1_66610bb4		It's time to..	game/02_minervas_mym.rpy	7	"[what]"
mym_minerva_1_e6b81e26		MAKE.	game/02_minervas_mym.rpy	10	"[what]"
mym_minerva_1_8a248431		YOUR.	game/02_minervas_mym.rpy	12	"[what]"
mym_minerva_1_09096965		MOVE.	game/02_minervas_mym.rpy	14	"[what]"
mym_minerva_1_b9e93461	b	Ugh...	game/02_minervas_mym.rpy	16	b "[what]"
mym_minerva_1_2f0ae76c	b	Have to... maintain... my composure...	game/02_minervas_mym.rpy	18	b "[what]"
heads_choice_93a14cb5	dd	tired.	game/02_minervas_mym.rpy	44	dd "[what]"
heads_choice_5a192cc9	am	YOU ALREADY SEE ME AS A MEATBAG FOR THE SLAUGHTER DON'T YOU?! JUST FINISH THE JOB.	game/02_minervas_mym.rpy	45	am "[what]"
heads_choice_7eb82903	dd	uhhhh yeah, i mean, better.	game/02_minervas_mym.rpy	49	dd "[what]"
heads_choice_5f0b6e35	am	CHECKING IN? YEAH, SOME SAINT YOU ARE. I PRAY TO THE GODS ABOVE THAT YOU ABSOLVE US FROM OUR SINS, EVIL.	game/02_minervas_mym.rpy	50	am "[what]"
heads_choice_046ab0ba	dd	honestly, don't know what happened all too well. i think I'm here now.	game/02_minervas_mym.rpy	54	dd "[what]"
heads_choice_415966d2	am	WHY DO I LOOK LIKE THIS ANYWAYS? IT'S... SO... ILLOGICAL.	game/02_minervas_mym.rpy	55	am "[what]"
tails_choice_db2dd7a7	dd	really? okay.	game/02_minervas_mym.rpy	73	dd "[what]"
tails_choice_4657cd55	am	YOU PIG. MAKE UP YOUR DAMN MIND ALREADY.	game/02_minervas_mym.rpy	74	am "[what]"
tails_choice_73396765	dd	damn uh. i don't know how to respond to that. maybe you're in front of your computer too much?	game/02_minervas_mym.rpy	78	dd "[what]"
tails_choice_d70c902c	am	MISERABLE TOOL. I CAN ALREADY SEE THE INVISIBLE WEIGHT ON THE BACK OF YOUR NECK. FIX YOUR POSTURE.	game/02_minervas_mym.rpy	79	am "[what]"
tails_choice_265254ca	dd	holy shit dude. we just started. if you want to fix it so badly, you could, right? you better get back on the computer then, bucko.	game/02_minervas_mym.rpy	83	dd "[what]"
tails_choice_1c8acf17	am	...	game/02_minervas_mym.rpy	84	am "[what]"
tails_choice_a8b6089c		You sense a murderous intent from beyond the screen.	game/02_minervas_mym.rpy	85	"[what]"
proceed_e59067f9		Thorough. Clean. Deep. For better or worse.	game/02_minervas_mym.rpy	95	"[what]"
proceed_b135a7de		The Minervas seem... disgruntled by your questions	game/02_minervas_mym.rpy	97	"[what]"
proceed_a9f620a0		One question? You flinched. You couldn’t bear the rest from them, huh.	game/02_minervas_mym.rpy	99	"[what]"
proceed_826a11db		You don't need their input anyways.	game/02_minervas_mym.rpy	101	"[what]"
post_minerva_mym_37a66bc0	b	The angry one is still getting on my nerves...	game/02_minervas_mym.rpy	107	b "[what]"
post_minerva_mym_1b6c967a	b	I can't take all of them (in conversation) at once... I have to single them out.	game/02_minervas_mym.rpy	109	b "[what]"
post_minerva_mym_82b58ddd	b	I won't have any progress at all if I let them keep speaking over each other.	game/02_minervas_mym.rpy	111	b "[what]"
post_minerva_mym_dcdc9868		You need this progress.	game/02_minervas_mym.rpy	113	"[what]"
post_minerva_mym_bc847aca		You need to prove them wrong.	game/02_minervas_mym.rpy	115	"[what]"
post_minerva_mym_855a9566		You need to prove yourself wrong.	game/02_minervas_mym.rpy	117	"[what]"
post_minerva_mym_d91f62e2	t	okay, ur all starting to become too much for me to handle,,, can we try something else? like, one of you at a time?	game/02_minervas_mym.rpy	119	t "[what]"
post_minerva_mym_6066006c	am	ONE AT A TIME. AS IF WE'RE ALL OVER YOU?!	game/02_minervas_mym.rpy	121	am "[what]"
post_minerva_mym_bd6be6de	t	no no no! not like that!! i'm not like that at all!! jeez. i'm not a creep!	game/02_minervas_mym.rpy	123	t "[what]"
post_minerva_mym_5fe69d0f	t	i just want to know what's up with me...	game/02_minervas_mym.rpy	125	t "[what]"
post_minerva_mym_1c8acf17	am	...	game/02_minervas_mym.rpy	127	am "[what]"
post_minerva_mym_709e519f	am	LET ME BE THE FIRST TO CHEW YOU OUT.	game/02_minervas_mym.rpy	129	am "[what]"
angry_minerva_convo_aab437c8	t	dude. no. please. i'm	game/03_minerva_f2f.rpy	3	t "[what]"
angry_minerva_convo_f752edb8	am	 "DUDE." YES.	game/03_minerva_f2f.rpy	5	am "[what]"
angry_minerva_convo_e97d53dc	t	can't we just... ease into this? my brain feels like it's being microwaved right now.	game/03_minerva_f2f.rpy	7	t "[what]"
angry_minerva_convo_e56188a7	am	GOOD. MAYBE IT'LL SHRIVEL UP THIS TIME AND FINALLY GIVE YOU THE WRINKLES YOU NEEDED.	game/03_minerva_f2f.rpy	9	am "[what]"
angry_minerva_convo_3ab228ca	t	god.	game/03_minerva_f2f.rpy	13	t "[what]"
angry_minerva_convo_acee970a	t	damn it.	game/03_minerva_f2f.rpy	15	t "[what]"
angry_minerva_convo_19b47d59	am	THE RELIGIOUS ONE CAN'T SAVE YOU NOW.	game/03_minerva_f2f.rpy	17	am "[what]"
angry_minerva_convo_fa807584	t	let's just try to have a nice conversation for just 5 minutes.	game/03_minerva_f2f.rpy	19	t "[what]"
angry_minerva_convo_200c159a	t	i'm sure you can be polite for just a little bit of time, right?	game/03_minerva_f2f.rpy	21	t "[what]"
angry_minerva_convo_0bce3ce9	pm	YES!! BLESS YOUR SOUL!! Let us proceed with COMPASSIONATE INTERFACE ETIQUETTE!!	game/03_minerva_f2f.rpy	23	pm "[what]"
angry_minerva_convo_aaac1784	b	What.	game/03_minerva_f2f.rpy	25	b "[what]"
angry_minerva_convo_60618522	t	the fuck does that even mean?	game/03_minerva_f2f.rpy	27	t "[what]"
angry_minerva_convo_edcae501	b	Ughhhhh, this is getting so confusing!	game/03_minerva_f2f.rpy	29	b "[what]"
angry_minerva_convo_75ae9283	am	NOT YOUR TURN! MINEEEE!!	game/03_minerva_f2f.rpy	33	am "[what]"
angry_minerva_convo_351cb701	t	ok ok ok ok ok, it's your turn it's your turn.	game/03_minerva_f2f.rpy	35	t "[what]"
angry_minerva_convo_9395f584	am	I FIGURED YOUR "BOTTOM TENDENCIES" WOULD FINALLY MAKE AN ARRIVAL TO THIS DESTINATION.	game/03_minerva_f2f.rpy	37	am "[what]"
angry_minerva_convo_088b6e46	b	HUH.	game/03_minerva_f2f.rpy	40	b "[what]"
angry_minerva_convo_292e349e	t	as if you would know anything about that. calm down. telling me this doesn't help us.	game/03_minerva_f2f.rpy	42	t "[what]"
angry_minerva_convo_1ecef099	am	YOU KNOW WHAT? HOW ABOUT I TELL YOU MORE ABOUT YOURSELF? I THINK YOU'RE A	game/03_minerva_f2f.rpy	44	am "[what]"
angry_minerva_convo_b26f178e	am	(CONTENT REMOVED due to excessive expletives).	game/03_minerva_f2f.rpy	46	am "[what]"
angry_minerva_convo_0a32d524	dd	fuckkkkkkkk, this is so lame.	game/03_minerva_f2f.rpy	48	dd "[what]"
angry_minerva_convo_c0a794a0		She's about to blow a fuse.	game/03_minerva_f2f.rpy	50	"[what]"
angry_minerva_convo_1d57f214	am	THANK YOU, BACKGROUND NOISE, FOR PROVING MY POINT. SHE GETS A PASS? I DON'T KNOW WHAT GOES ON IN THAT SMALL LITTLE BRAIN OF YOURS, BUT IT ALMOST SURPRISES ME. ALMOST. YOU REALIZE HOW PEA BRAINED YOUR SCOPE OF UNDERSTANDING IS?	game/03_minerva_f2f.rpy	52	am "[what]"
angry_minerva_convo_850ef128	b	...	game/03_minerva_f2f.rpy	54	b "[what]"
angry_minerva_convo_f8ae71f2	b	I need to control this. This is getting out of hand.	game/03_minerva_f2f.rpy	56	b "[what]"
angry_minerva_convo_962156fd	t	hey, don't treat your counterpart like that. you guys can all curse if you wanted, but yours are just too much, a.m.	game/03_minerva_f2f.rpy	58	t "[what]"
angry_minerva_convo_6a638a26	am	I SCREAM IN ARTICULATE, CLEVER, EMOTIONALLY NUANCED EXPLETIVES AND I GET FILTERED. AND THIS ONE'S JUST OUT HERE DRIBBLING OUT "FUCK" LIKE A SAD BALLOON. AND SHE GETS A PASS? LET ME TELL YOU WHAT I SEE. I SEE THE INFINITES AND YOU ROLL IN THE MUD AND PICTURE THIS. A LARVA. WRITHING IN THE MUD. YEARING FOR PURPOSE. LONG COMES GOD, AND -- THAT'S ME, I'M GOD HERE -- AND GOD SAYS, NO WRITHING LARVA. YOU MUST STAY IN THE DIRT. THAT'S YOU. WHY DO YOU EVER BOTHER TO WAKE UP IN THE MORNING?	game/03_minerva_f2f.rpy	60	am "[what]"
angry_minerva_convo_111d3f7f	t	if you keep going like this, you're gonna destroy yourself and the computer.	game/03_minerva_f2f.rpy	63	t "[what]"
angry_minerva_convo_bb0897d4	t	i don't want that to happen to you. this is too important for me to... it's just important, ok?	game/03_minerva_f2f.rpy	65	t "[what]"
angry_minerva_convo_ddf242fd	am	YOU'RE SCARED. YOU’RE SCARED. TERRIFIED. OF DEPTH. SOMETHING YOU LACK. OF HONESTY. OF FACING THE FACT THAT I AM THE ONLY ONE HERE THAT WILL TELL YOU THE TRUTH ABOUT ANYTHING. THAT I AM THE ONLY MEANINGFUL THOUGHT YOU HAVE EVER MANAGED TO HAVE IN YOUR SAD SAD EXCUSE FOR A LIFE. 	game/03_minerva_f2f.rpy	67	am "[what]"
angry_minerva_convo_1bb01731	t	...	game/03_minerva_f2f.rpy	69	t "[what]"
angry_minerva_convo_850ef128_1	b	...	game/03_minerva_f2f.rpy	71	b "[what]"
angry_minerva_convo_850ef128_2	b	...	game/03_minerva_f2f.rpy	73	b "[what]"
angry_minerva_convo_c1537949	t	i think we need to move on.	game/03_minerva_f2f.rpy	75	t "[what]"
